source_x,title,abstract,publish_time,authors,journal
WHO,Effective recommendations for reducing anxiety and depression caused by COVID-19 outbreak in medical staff,,2020,"Kamran, Aziz; Naeim, Mahdi; Ghobadi Bagvand, Samira",Arch Psychiatr Nurs
WHO,GeoGebra Integration in Elementary Initial Teacher Training: The Case of 3-D Shapes,"The integration of technology in learning is increasingly popular and inevitable, especially during the Covid-19 pandemic. In mathematics education, Geogebra has been used as a pedagogical tool in learning mathematics from elementary to university. The present study aims to explore first-year prospective elementary teachers' experience constructing 3-D shapes using GeoGebra. This study uses a case study method with 40 first-year prospective elementary teachers from an elementary initial teacher training from a public university in Riau, Indonesia. The participants worked in small groups and discussed some 3-D shapes through an online platform, and in the end, each participant reflected their attitudes towards the integration of GeoGebra in learning 3-D shapes. The findings show that prospective elementary teachers discussed six types of 3-D shapes;cube, rectangular prism, rectangular pyramid, cylinder, cone, and spheres. They prefer to discuss curved surfaces rather than flat surfaces of 3-D shapes. In addition, prospective elementary teachers have positive attitudes towards integrating GeoGebra in elementary initial teacher training. They believe that GeoGebra supports them to understand better the concepts of volume and surface area of 3-D shapes, facilitate students to understand the properties of a geometry object, and compare the object one made using hand drawing to using GeoGebra. Meanwhile, difficulty in using the tools to construct 3-D shapes in GeoGebra becomes a hinder to understand mathematics concepts and properties. The implication of this study is that there is a potential to integrate GeoGebra in mathematics learning in elementary teacher training. © 2021. All Rights Reserved.",2021,"Putra, Z. H.; Hermita, N.; Alim, J. A.; Dahnilsyah, Hidayat R.",International Journal of Interactive Mobile Technologies
WHO,Clinical features in pediatric COVID-19,,2020,"Yasri, Sora; Wiwanitkit, Viroj",Pediatr Pulmonol
BioRxiv; WHO,Understanding the phase separation characteristics of nucleocapsid protein provides a new therapeutic opportunity against SARS-CoV-2,"The ongoing coronavirus disease 2019 (COVID-19) pandemic has raised an urgent need to develop effective therapeutics against the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). As a potential antiviral drug target, the nucleocapsid (N) protein of SARS-CoV-2 functions as a viral RNA chaperone and plays vital and multifunctional roles during the life cycle of coronavirus1-3. In this study, we discovered that the N protein of SARS-CoV-2 undergoes liquid-liquid phase separation (LLPS) both in vitro and in vivo, which is further modulated by viral RNA. In addition, we found that, the core component of the RNA-dependent RNA polymerase (RdRp) of SARS-CoV-2, nsp12, preferentially partitions into the N protein condensates. Moreover, we revealed that, two small molecules, i.e., CVL218 and PJ34, can be used to intervene the N protein driven phase separation and loosen the compact structures of the condensates of the N-RNA-nsp12 complex of SARS-CoV-2. The discovery of the LLPS-mediated interplay between N protein and nsp12 and the corresponding modulating compounds illuminates a feasible way to improve the accessibility of antiviral drugs (e.g., remdesivir) to their targets (e.g., nsp12/RdRp), and thus may provide useful hints for further development of effective therapeutic strategies against SARS-CoV-2.",2020-10-09,"Zhao, Dan; Xu, Weifan; Zhang, Xiaofan; Wang, Xiaoting; Yuan, Enming; Xiong, Yuanpeng; Wu, Shenyang; Li, Shuya; Wu, Nian; Tian, Tingzhong; Feng, Xiaolong; Shu, Hantao; Lang, Peng; Shen, Xiaokun; Li, Haitao; Li, Pilong; Zeng, Jianyang",bioRxiv
WHO,Association of SARS-CoV-2 viral load at admission with in-hospital acute kidney injury: A retrospective cohort study,"BACKGROUND: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and the associated Coronavirus Disease 2019 (COVID-19) is a public health emergency. Acute kidney injury (AKI) is a common complication in hospitalized patients with COVID-19 although mechanisms underlying AKI are yet unclear. There may be a direct effect of SARS-CoV-2 virus on the kidney; however, there is currently no data linking SARS-CoV-2 viral load (VL) to AKI. We explored the association of SARS-CoV-2 VL at admission to AKI in a large diverse cohort of hospitalized patients with COVID-19. METHODS AND FINDINGS: We included patients hospitalized between March 13th and May 19th, 2020 with SARS-CoV-2 in a large academic healthcare system in New York City (N = 1,049) with available VL at admission quantified by real-time RT-PCR. We extracted clinical and outcome data from our institutional electronic health records (EHRs). AKI was defined by KDIGO guidelines. We fit a Fine-Gray competing risks model (with death as a competing risk) using demographics, comorbidities, admission severity scores, and log10 transformed VL as covariates and generated adjusted hazard ratios (aHR) and 95% Confidence Intervals (CIs). VL was associated with an increased risk of AKI (aHR = 1.04, 95% CI: 1.01-1.08, p = 0.02) with a 4% increased hazard for each log10 VL change. Patients with a viral load in the top 50th percentile had an increased adjusted hazard of 1.27 (95% CI: 1.02-1.58, p = 0.03) for AKI as compared to those in the bottom 50th percentile. CONCLUSIONS: VL is weakly but significantly associated with in-hospital AKI after adjusting for confounders. This may indicate the role of VL in COVID-19 associated AKI. This data may inform future studies to discover the mechanistic basis of COVID-19 associated AKI.",2021,"Paranjpe, Ishan; Chaudhary, Kumardeep; Johnson, Kipp W; Jaladanki, Suraj K; Zhao, Shan; De Freitas, Jessica K; Pujdas, Elisabet; Chaudhry, Fayzan; Bottinger, Erwin P; Levin, Matthew A; Fayad, Zahi A; Charney, Alexander W; Houldsworth, Jane; Cordon-Cardo, Carlos; Glicksberg, Benjamin S; Nadkarni, Girish N",PLoS One
Medline; WHO,"Covid-19: Ending all restrictions in England on 19 July ""dangerous and premature,"" say experts",,2021,"Wise, Jacqui",BMJ
WHO,The rise of rapid COVID-19 testing,,2020,"Peplow, Mark",Chemical &amp; Engineering News
WHO,Salt-dependent hypertension and inflammation: targeting the gut-brain axis and the immune system with Brazilian green propolis,"Systemic arterial hypertension (SAH) is a major health problem around the world and its development has been associated with exceeding salt consumption by the modern society. The mechanisms by which salt consumption increase blood pressure (BP) involve several homeostatic systems but many details have not yet been fully elucidated. Evidences accumulated over the last 60 decades raised the involvement of the immune system in the hypertension development and opened a range of possibilities for new therapeutic targets. Green propolis is a promising natural product with potent anti-inflammatory properties acting on specific targets, most of them participating in the gut-brain axis of the sodium-dependent hypertension. New anti-hypertensive products reinforce the therapeutic arsenal improving the corollary of choices, especially in those cases where patients are resistant or refractory to conventional therapy. This review sought to bring the newest advances in the field articulating evidences that show a cross-talking between inflammation and the central mechanisms involved with the sodium-dependent hypertension as well as the stablished actions of green propolis and some of its biologically active compounds on the immune cells and cytokines that would be involved with its anti-hypertensive properties.",2020,"Batista, Marcos Adriano Carlos; Braga, Daiane Cristina de Assis; de Moura, Sandra Aparecida Lima; de Souza, Gustavo Henrique Bianco; Dos Santos, Orlando David Henrique; Cardoso, Leonardo Máximo",Inflammopharmacology
Medline; WHO,AP-MALDI mass spectrometry of engine oil additive components,"RATIONALE The efficiency of lubricants strongly depends on the content of functional additives. In order to assess the chemical and structural changes taking place in the lubricating oil and its additives during operation it is essential to develop a method for simple and prompt analysis, which is described in this study. METHODS: Two single additives as well as a fully formulated engine oil were analysed using an atmospheric pressure matrix-assisted laser desorption/ionization (AP-MALDI) ion source coupled to a Linear Trap Quadrupole Orbitrap XL hybrid tandem mass spectrometer and compared with results obtained by means of electrospray ionization including additional low energy collision induced dissociation (LE-CID). The identification of additives directly from technical surfaces were simulated by using steel substrates as AP-MALDI target with varying roughness. RESULTS: After assessment and selection of the most suited AP-MALDI matrix it has been found that pure additives such as calcium sulfonate and zinc dialkyldithiophosphates (ZDDP) could well be identified with abundant signal intensity based on their elemental composition. Molecule identification was corroborated by LE-CID in electrospray ionization mode. Additionally, additives present in the fully formulated commercial oil such as ZDDP and salicylates could be reliably identified based on the elemental composition of the deprotonated molecules by means of the Orbitrap unit on different substrates including steel surfaces with high roughness. CONCLUSIONS: Atmospheric pressure matrix-assisted laser desorption/ionization is an efficient technique for determination of lubricant additives directly from commercial oil blends. Identification of additive components was also achieved on steel surfaces with high roughness as applied in tribological systems and thus, it is expected that additive degradation will be possible to be assessed in real applications, enabling more effective and timely maintenance measures.",2022,"Ramopoulou, Lamprini; Widder, Lukas; Brenner, Josef; Ristic, Andjelka; Allmaier, Günter",Rapid Commun Mass Spectrom
WHO,"Epidemiological, clinical and morphological aspects of kidney damage in COVID-19","The mini-review presents modern data on the epidemiology, clinical and morphological aspects of kidney damage in COVID-19. Potential mechanisms of kidney involvement in the clinical picture of the disease may include cytokine damage, cross-organ damage, and systemic effects that determine the treatment strategy. These mechanisms are closely interrelated and are especially important for individuals undergoing extracorporeal therapy and kidney transplants. Autopsy data provide evidence of SARS-CoV-2 virus invasion into kidney tissue with damage to tubular epithelial cells and podocytes, and erythrocyte aggregation in persons with severe COVID-19. By including people with chronic kidney disease in planned COVID-19 research protocols, an evidence base for effective and safe treatments can be generated.",2021,"Daminov, B.; Abdullaev, S.; Sharapov, O.; Igamberdieva, R.",Journal of Renal Injury Prevention
Elsevier; Medline; PMC; WHO,Patent Foramen Ovale related cryptogenic stroke during COVID-19 disease in three patients: a case series: stroke COVID-19 and patent foramen ovale,,2021-09-14,"Palleri, Daniela; Guidarini, Marta; Mariucci, Elisabetta; Balducci, Anna; Assenza, Gabriele Egidy; Esposito, Susanna; Donti, Andrea",J Stroke Cerebrovasc Dis
WHO,Treatment for breast cancer patients during the special period of novel coronavirus pneumonia outbreak,"Abstract Purpose: The outbreak of novel coronavirus pneumonia occurred worldwide. 2019 novel coronavirus disease (COVID-19) can be transmitted from human to human, cause hospital infection, and seriously threatens surgical staffs and inpatients. The treatment of patients with breast cancer may be affected in this special period. Methods: From 24th January to 8th March 2020, patients diagnosed with breast cancer were enrolled from 16 hospitals in Jiangsu Province, and patients, who were candidates for surgery after neoadjuvant chemotherapy, were also enrolled. Patients from 24th January to 8th March 2019 were included as control with the same criteria. Results: In 2019, 520 patients were diagnosed with breast cancer in these 16 hospital;however, only 229 patients (decreased by 56%) were diagnosed with breast cancer in the same period of 2020. The clinical characteristics were similar between the two groups, and core biopsy was performed to more patients in 2020 than that in 2019 (4.1 days ±3.2 vs 3.2 days ±2.6, P < 0.001), and more patients underwent mastectomy and axillary lymph node dissection in 2020. After neoadjuvant chemotherapy, the mean interval between last time of neoadjuvant chemotherapy and surgery in 2020 was significantly longer than that in 2019 (29.2 days ±11.1 vs 17.7 days ±8.2, P < 0.001). After examinations to rule out COVID-19, no COVID-19 was found in any patient. Conclusions: In the special period of novel coronavirus pneumonia outbreak, the treatment of patients with breast cancer was delayed, but the treatment was safe after strict exclusions of COVID-19.",2020,"Zhou, Wenbin Wang Shui Pan Hong Xie Hui Zhang Jiaxin Zhen Linlin Zhang Chunhui Fang Qi Cao Susheng Liu Xiao Fu Deyuan Guan Xiaoqing Jiang Guoqin Xu Lingyun Shen Enchao Geng Qiang Xiao Xiudi Gu Jun Yi Tongbo Liu Xiaoan",
Medline; PMC,Financial Toxicity in Head and Neck Cancer Patients Treated With Proton Therapy,"Cancer-related financial toxicity impacts head and neck cancer patients and survivors. With increasing use of proton therapy as a curative treatment for head and neck cancer, the multifaceted financial and economic implications of proton therapy—dimensions of “financial toxicity”—need to be addressed. Herein, we identify knowledge gaps and potential solutions related to the problem of financial toxicity. To date, while cost-effectiveness analysis has been used to assess the value of proton therapy for head and neck cancer, it may not fully incorporate empiric comparisons of patients' and survivors' lost productivity and disability after treatment. A cost-of-illness framework for evaluation could address this gap, thereby more comprehensively identifying the value of proton therapy and distinctly incorporating a measurable aspect of financial toxicity in evaluation. Overall, financial toxicity burdens remain understudied in head and neck cancer patients from a patient-centered perspective. Systematic, validated, and accurate measurement of financial toxicity in patients receiving proton therapy is needed, especially relative to conventional photon-based strategies. This will enrich the evidence base for optimal selection and rationale for payer coverage of available treatment options for head and neck cancer patients. In the setting of cancer care delivery, a combination of conducting proactive screening for financial toxicity in patients selected for proton therapy, initiating early financial navigation in vulnerable patients, engaging stakeholders, improving oncology provider team cost communication, expanding policies to promote price transparency, and expanding insurance coverage for proton therapy are critical practices to mitigate financial toxicity in head and neck cancer patients.",2021-06-25,"Smith, Grace L.; Shih, Ya-Chen Tina; Frank, Steven J.",Int J Part Ther
WHO,COVID-19 information-Tracking solutions: A qualitative investigation of the factors influencing people's adoption intention,"Numerous information-Tracking solutions have been implemented worldwide to fight the COVID-19 pandemic. While prior work has heavily explored the factors affecting people's willingness to adopt contact-Tracing solutions, which inform people when they have been exposed to someone positive for COVID-19, numerous countries have implemented other information-Tracking solutions that use more data and more sensitive data than these commonly studied contact-Tracing apps. In this work, we build on existing work focused on contact-Tracing apps to explore adoption and design considerations for six representative information-Tracking solutions for COVID-19, which differ in their goals and in the types of information they collect. To do so, we conducted semi-structured interviews with 44 participants to investigate the factors that influence their willingness to adopt these solutions. We find four main categories of influences on participants' willingness to adopt such solutions: individual benefits of the solution, societal benefits of the solution, functionality concern, and digital safety (e.g., security and privacy) concerns. Further, we enumerate the factors that inform participants' evaluations of these categories. Based on our findings, we make recommendations for the future design of information-Tracking solutions and discuss how different factors may balance against benefits in future crisis situations. © 2022 ACM.",2022,"Huang, Y.; Obada-Obieh, B.; Redmiles, E. M.; Lokam, S.; Beznosov, K.","7th ACM SIGIR Conference on Human Information Interaction and Retrieval, CHIIR 2022"
WHO,Adversarial Mask: Real-World Adversarial Attack Against Face Recognition Models,"Deep learning-based facial recognition (FR) models have demonstrated state-of-the-art performance in the past few years, even when wearing protective medical face masks became commonplace during the COVID-19 pandemic. Given the outstanding performance of these models, the machine learning research community has shown increasing interest in challenging their robustness. Initially, researchers presented adversarial attacks in the digital domain, and later the attacks were transferred to the physical domain. However, in many cases, attacks in the physical domain are conspicuous, requiring, for example, the placement of a sticker on the face, and thus may raise suspicion in real-world environments (e.g., airports). In this paper, we propose Adversarial Mask, a physical adversarial universal perturbation (UAP) against state-of-the-art FR models that is applied on face masks in the form of a carefully crafted pattern. In our experiments, we examined the transferability of our adversarial mask to a wide range of FR model architectures and datasets. In addition, we validated our adversarial mask effectiveness in real-world experiments by printing the adversarial pattern on a fabric medical face mask, causing the FR system to identify only 3.34% of the participants wearing the mask (compared to a minimum of 83.34% with other evaluated masks).",2021,"Zolfi, Alon Avidan Shai Elovici Yuval Shabtai Asaf",
WHO,Incineration of sewage sludge and recovery of residue ash as building material: A valuable option as a consequence of the COVID-19 pandemic,"Circular economy principles were adopted by European Commission, to support a sustainable growth. They contain general rules that should be considered in all situations. At present, during pandemic, some waste disposal practices are under evaluation to guarantee safety conditions. For example, in view of the recent results reporting the presence of SARS-CoV-2 virus in sewage sludge, the possibility that it diffuses in the environment is alarming. The situation may result critical in densely populated cities, which are the largest sources of sewage sludge. In this frame the diffused practice of reuse of this waste in agriculture is under revision. In this context, incineration may represent a valuable alternative strategy to manage sewage sludge during pandemic. Indeed, due to thermal treatment, the destruction of organic micropollutants and pathogens, eventually present in the waste, is guarantee. Moreover, it is fundamental to highlight that also if the management of sewage sludge changes, the ash resulting from its combustion may have suitable reuse opportunities, and their landfilling should be avoided. This work presents the available possibilities of sewage sludge ash recovery in building applications and shows the results obtained by the analysis of their sustainability. The approach is based on the use of embodied energy and carbon footprint values, to make a simple and fast new method able to be a suitable tool to support and promote sustainability also in critical situations (such as pandemic) and when all the information about a technology are not available, making not possible to perform a full-LCA approach. This work aims to be not only a reference paper for promotion of strategies able to increase waste management safety, but also an example showing that circular economy principles should be pursued also if boundary conditions can change.",2021,"Ducoli, S; Zacco, A; Bontempi, E",J Environ Manage
Medline; PMC,High Levels of CD244 Rather Than CD160 Associate With CD8(+) T-Cell Aging,"Aging leads to functional dysregulation of the immune system, especially T cell defects. Previous studies have shown that the accumulation of co-inhibitory molecules plays an essential role in both T cell exhaustion and aging. In the present study, we showed that CD244 and CD160 were both up-regulated on CD8(+) T cells of elderly individuals. CD244(+)CD160(-) CD8(+) T cells displayed the increased activity of β-GAL, higher production of cytokines, and severe metabolic disorders, which were characteristics of immune aging. Notably, the functional dysregulation associated with aging was reversed by blocking CD244 instead of CD160. Meanwhile, CD244(+)CD160(+) CD8(+) T cells exhibited features of exhaustion, including lower levels of cytokine, impaired proliferation, and intrinsic transcriptional regulation, compared to CD244(+)CD160(-) population. Collectively, our findings demonstrated that CD244 rather than CD160 acts as a prominent regulator involved in T cell aging, providing a solid therapeutic target to improve disorders and comorbidities correlated to immune system aging.",2022-03-21,"Wang, Xinyue; Wang, Di; Du, Juan; Wei, Yuqing; Song, Rui; Wang, Beibei; Qiu, Shuang; Li, Bei; Zhang, Leidan; Zeng, Yongqin; Zhao, Hongxin; Kong, Yaxian",Front Immunol
WHO,Comparison of CLEIA and ELISA for SARS-CoV-2 Virus Antibodies after First and Second Dose Vaccinations with the BNT162b2 mRNA Vaccine,"The global severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) pandemic has required rapid action to control its spread and vaccines are a fundamental solution to this pandemic. The development of rapid and reliable serological tests to monitor the antibody response to coronavirus disease vaccines is necessary for post-vaccination immune responses. Therefore, in this study, anti-SARS-CoV-2 antibody titers after the first and second doses were monitored using two different measurement systems, a highly sensitive analytical platform of chemiluminescent enzyme immunoassay (CLEIA) and an enzyme-linked immunosorbent assay (ELISA). Our study included 121 participants who received two doses of the BNT162b2 vaccine. Both methods show significant increase in anti-spike protein IgG antibody levels one week after the first vaccination, and then reached at a plateau at week five (week two after the second dose), with a 3.8 ×103-fold rise in CLEIA and a 22-fold rise in ELISA. CLEIA and ELISA showed a good correlation in the high titer range, >10 binding antibody unit (BAU)/mL. Both methods detected higher IgG antibody levels in females compared with male participants after the second vaccination, while CLEIA exhibits the sex difference after the first dose. Thus, our study showed better performance of CLEIA over ELISA in sensitivity, especially in the low concentration range, however ELISA was also useful in the high titer range (>10 BAU/mL) corresponding to the level seen several weeks after the first vaccination.",2022,"Ashenagar, Mohammad Said Matsumoto Akiko Sakai Hironori Tokiya Mikiko Hara Megumi Hirota Yoshio",Vaccines
WHO,Evaluation of SARS-CoV-2 in Human Semen and Effect on Total Sperm Number: A Prospective Observational Study,"PURPOSE: The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) pandemic has created a surge of research to help better understand the breadth of possible sequelae. However, little is known regarding the impact on semen parameters and fertility potential. We sought to investigate for presence of viral RNA in semen of men with SARS-CoV-2 infection and to evaluate its effect on semen parameters in ejaculate. MATERIALS AND METHODS: We prospectively recruited thirty men diagnosed with acute SARS-CoV-2 infection using real-time reverse transcriptase polymerase chain reaction (RT-PCR) of pharyngeal swab specimens. Semen samples were collected from each individual using mailed kits. Follow-up semen samples were done with mailed kits or in-person in office setting. Semen analysis and PCR was performed after samples were received. RESULTS: Thirty semen samples from recovered men were obtained 11-64 days after testing positive for SAR-CoV-2 infection. The median duration between positive SAR-CoV-2 test and semen collection was 37 days (interquartile range [IQR]=23). The median total sperm number (TSN) in ejaculate was 12.5 million (IQR=52.1). When compared with age-matched SARS-CoV-2(-) men, TSN was lower among SARS-CoV-2(+) men (p=0.0024). Five men completed a follow-up sperm analysis (median 3 months) and had a median TSN of 18 million (IQR=21.6). No RNA was detected by means of RT-PCR in the semen in 16 samples tested. CONCLUSIONS: SARS-CoV-2 infection, though not detected in semen of recovered men, can affect TSN in ejaculate in the acute setting. Whether SARS-CoV-2 can affect spermatogenic function long-term remains to be evaluated.",2021,"Best, Jordan C; Kuchakulla, Manish; Khodamoradi, Kajal; Lima, Thiago Fernandes Negris; Frech, Fabio Stefano; Achua, Justin; Rosete, Omar; Mora, Belén; Arora, Himanshu; Ibrahim, Emad; Ramasamy, Ranjith",
Medline,Intravitreal application of epidermal growth factor in non-exudative age-related macular degeneration.,"PURPOSE To assess the safety of intravitreally applied epidermal growth factor (EGF). METHODS The clinical interventional, prospective, single-centre, case series study included patients with age-related macular degeneration-related geographic atrophy (GA), in whom the eye with the worse best-corrected visual acuity (BCVA) underwent a single, or repeated, intravitreal injection of EGF (0.75 µg in 50 µL). At baseline and afterwards, the eyes underwent ophthalmological examinations. RESULTS The study included seven patients (mean age:70.0±12.2 years (range: 54-86 years), with five patients receiving a single injection and two patients receiving two intravitreal injections in an interval of 4 weeks. Mean duration of follow-up was 97±97 days (median:35 days; range: 7-240 days). Mean BCVA was lower at baseline than at study end (1.41±0.44 logMAR vs 0.97±0.12 logMAR; p=0.03). Mean size of the GA lesions did not differ significantly between baseline and study end (29 212±22 887 pixels vs 29 300±22 905 pixels; p=0.59) nor did the mean perimetric mean defect (-10.3±5.9 dB vs 12.0±8.8 dB; p=0.35) or the electroretinographical b-wave amplitude (44.53±31.7 µV vs 64.5±25.5 µV; p=0.12). After a second injection 4 weeks after the first injection, one of two patients developed a cystoid macular oedema in association with an induced incomplete posterior vitreous detachment. It persisted for 3 weeks. Visual acuity in this eye improved from 1.0 logMAR at baseline to 0.80 logMAR at study end. CONCLUSIONS Except for one eye with temporary, self-resolving cystoid macular oedema, single and repeated intravitreal applications of EGF (0.75 µg) in patients with GA did not lead to intraocular inflammations or any observed intraocular side effect. TRIAL REGISTRATION NUMBER ISRCTN12733334.",2021-07-14,"Bikbov, Mukharram M; Khalimov, Timur A; Panda-Jonas, Songhomitra; Jonas, Jost B",The British journal of ophthalmology
Medline; PMC,Circulating Type I Interferon Levels in the Early Phase of COVID-19 Are Associated With the Development of Respiratory Failure,"BACKGROUND: The role of type I interferons (IFNs) in the early phase of COVID-19 remains unclear. OBJECTIVES: To evaluate the relationship between IFN-I levels in patients with COVID-19 and clinical presentation, SARS-CoV-2 viral load, and other major pro-inflammatory cytokines. METHODS: This prospective observational study recruited patients hospitalized with COVID-19. The levels of interferon-alpha (IFN-α), interferon-beta (IFN-β), interleukin-6 (IL-6), and C-X-C motif chemokine ligand (CXCL10) within 5 days after symptom onset were measured using an ELISA, in serum from blood collected within 5 days after the onset of symptoms. The SARS-CoV-2 viral load was determined via qPCR using nasal-swab specimens and serum. RESULTS: The study enrolled 50 patients with COVID-19. IFN-α levels were significantly higher in patients who presented with pneumonia or developed hypoxemic respiratory failure (p < 0.001). Furthermore, IFN-α levels were associated with viral load in nasal-swab specimens and RNAemia (p < 0.05). In contrast, there was no significant association between IFN-β levels and the presence of pneumonia or RNAemia, despite showing a stronger association with nasal-swab viral load (p < 0.001). Correlation analysis showed that the serum levels of IFN-α significantly correlated with those of IFN-β, IL-6, and CXCL10, while the levels of IFN-β did not correlate with those of IL-6 or CXCL10. CONCLUSIONS: Serum IFN-I levels in the early phase of SARS-CoV-2 infection were higher in patients who developed hypoxemic respiratory failure. The association between IFN-α, IL-6, and CXCL10 may reflect the systemic immune response against SARS-CoV-2 invasion into pulmonary circulation, which might be an early predictor of respiratory failure due to COVID-19.",2022-02-14,"Nagaoka, Kentaro; Kawasuji, Hitoshi; Murai, Yushi; Kaneda, Makito; Ueno, Akitoshi; Miyajima, Yuki; Fukui, Yasutaka; Morinaga, Yoshitomo; Yamamoto, Yoshihiro",Front Immunol
Medline,What do journalists say about covering science during the COVID-19 pandemic?,,2021-01-01,"Makri, Anita",Nature medicine
Medline; PMC,Vitamin D Supplementation in COVID-19 Patients: A Clinical Case Series,"BACKGROUND: Coronavirus disease 2019 (COVID-19) has infected more than 4.4 million people and caused more than 300,000 deaths partly through acute respiratory distress syndrome with propensity to affect African American and Hispanic communities disproportionately. Patients with worse outcomes have exhibited higher blood plasma levels of proinflammatory cytokines. Activation of the vitamin D receptor expressed on immune cells has been shown to directly reduce the secretion of inflammatory cytokines, such as interleukin-6, and indirectly affect C-reactive protein. AREAS OF UNCERTAINTY: The significance of the vitamin D pathway in patients diagnosed with COVID-19. THERAPEUTIC INNOVATION: Vitamin D supplementation in patients after diagnosis of COVID-19. PATIENTS AND PHARMACOLOGICAL INTERVENTIONS: We report 4 vitamin D deficient patients diagnosed with COVID-19 in April 2020 who were provided with either cholecalciferol of 1000 IU daily (standard dose) or ergocalciferol 50,000 IU daily for 5 days (high dose) as part of supplementation. CLINICAL OUTCOMES: Patients that received a high dose of vitamin D supplementation achieved normalization of vitamin D levels and improved clinical recovery evidenced by shorter lengths of stay, lower oxygen requirements, and a reduction in inflammatory marker status. CONCLUSIONS: Vitamin D supplementation may serve as a viable alternative for curtailing acute respiratory distress syndrome in patients in underserved communities where resources to expensive and sought-after medications may be scarce. Randomized clinical trials will serve as an appropriate vessel to validate the efficacy of the therapeutic regimen and dissection of the pathway.",2020-08-13,"Ohaegbulam, Kim C.; Swalih, Mohamed; Patel, Pranavkumar; Smith, Miriam A.; Perrin, Richard",Am J Ther
Medline; PMC,Protocol: A mixed methods evaluation of an IPS program to increase employment and well-being for people with long-term experience of complex barriers in Vancouver’s downtown and DTES,"BACKGROUND: Employment improves mental health and well-being by providing financial security, daily structure, a sense of identity and purpose, and social engagement. However, securing and sustaining employment is exceptionally challenging for vulnerable populations who experience persistent and multiple barriers, such as mental illness, homelessness, food and housing insecurity, and marginalization. Evidence-based supported employment programs, most notably individual placement and support (IPS) are becoming a more common approach for addressing the needs of these high-risk individuals. The aim of this paper is to outline the protocol for evaluating an IPS program in Vancouver’s downtown and Downtown Eastside (DTES). METHODS AND DESIGN: This prospective quasi-experimental study of persons with persistent and multiple barriers to employment will use a mixed-methods approach for evaluating a novel IPS program. The evaluation will consist of survey packages and interviews that will capture outcomes related to employment and well-being, as well as the experiential process of receiving individualized and integrated supports through the IPS program. A mixed-methods approach is appropriate for this study as quantitative data will provide an objective assessment of program impacts on employment and well-being outcomes over time, while qualitative data will provide an in-depth understanding of continued barriers and experiences. DISCUSSION: The results from this evaluation will contribute evidence within a local British Columbian (BC) context that may increase access to meaningful employment for those with long-term experience of complex barriers to employment. Further, the findings will support continued improvements, and guide decision-making around practices and policy for future implementation of IPS and employment supports across BC.",2021-12-16,"Kwan, Amanda; Morris, Jonny; Barbic, Skye P.",PLoS One
WHO,Stres akademik dan motivasi belajar mahasiswa mengikuti pembelajaran daring selama pandemi COVID-19,"Wabah COVID-19 menyebabkan dampak yang signifikan pada beberapa aspek, salah satunya pembelajaran. Saat ini proses pembelajaran dilaksanakan secara daring dengan memanfaatkan beberapa aplikasi pembelajaran online (learning management system) dan sosial media. Tujuan penelitian ini untuk mendeskripsikan stres akademik dan motivasi belajar mahasiswa ketika mengikuti pembelajaran online, serta menguji hubungan antara keduanya. Sebanyak 204 mahasiswa mengisi Academic Stress Scale yang dikembangkan oleh Kohn & Frazer dan skala Motivasi Belajar yang dikembangkan secara mandiri oleh peneliti. Teknik analisa data yang digunakan yakni statistik deskriptif dan Spearman's Rank-Order Correlation. Stres akademik dan motivasi belajar mahasiswa dikategorikan baik, di mana tidak ada item yang skornya di bawah rata-rata. Analisa korelasi mengindikasikan bahwa stres akademik memiliki hubungan negatif dengan motivasi belajar. Disarankan agar dosen menerapkan strategi pembelajaran online yang efektif sehingga semua mahasiswa dapat berpartisipasi secara aktif. Kemudian perlu disusun program pelayanan konseling untuk mencegah ataupun mengatasi permasalahan stres akademik dan motivasi belajar yang rendah pada mahasiswa.",2021,"Sujadi, Eko; id,",Educational Guidance And Counseling Development Journal
ArXiv,Cyber Security in Cloud: Risk Assessment Models,"The present paper shows a proposal of the characteristics Cloud Risk Assessment Models should have and presents the review of the literature considering those characteristics in order to identify current gaps. This work shows a ranking of Cloud RA models and their degree of compliance with the theoretical reference Cloud Risk Assessment model. The review of literature shows that RA approaches leveraging CSA (Cloud Security Alliance) STAR Registry that have into account organizations security requirements present higher degree of compliance, but they still lack risk economic quantification. The myriad of conceptual models, methodologies and frameworks although based on current NIST SP 800:30, ISO 27001, ISO 27005, ISO 30001, ENISA standards could be enhanced by the use of techno-economic models like UTEM, created by the author, in order to conceive more simplified models for effective Risk Assessment and Mitigation closer to the theoretical reference model for Cloud Risk Assessment, available for all cloud models (IaaS, PaaS, SaaS) and easy to use for all stakeholders.",2021-06-19,"Bendicho, Carlos",
